Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
33,Rue,0.62,0.25,5.127904091870502,5.377904091870502,Parking,3
0,Domicile,5.194945075292831,0.22,5.194945075292831,5.414945075292831,Entreprise,1
7,Rue,5.306926447156535,0.15,5.306926447156535,5.456926447156535,Sans,1
79,Parking,0.19,0.18,5.3066893564042426,5.486689356404242,Parking,3
37,Rue,4.655413718584953,0.86,4.655413718584953,5.515413718584953,Rue,1
99,Domicile,5.46033754873494,0.12,5.46033754873494,5.58033754873494,Entreprise,1
91,Domicile,5.356057222183001,0.23,5.356057222183001,5.586057222183001,Entreprise,1
19,Parking,0.08,0.24,5.358616654215747,5.598616654215747,Rue,2
31,Domicile,5.4837560958669425,0.12,5.4837560958669425,5.603756095866943,Rue,1
30,Sans,0.81,0.11,5.497416677767935,5.607416677767936,Domicile,2
15,Rue,5.153601202626675,0.49,5.153601202626675,5.643601202626675,Entreprise,1
68,Parking,0.3,0.18,5.467697909092813,5.6476979090928126,Domicile,3
40,Rue,5.683816628822328,0.11,5.683816628822328,5.793816628822328,Parking,1
27,Domicile,5.469161604609498,0.34,5.469161604609498,5.809161604609498,Parking,1
16,Domicile,5.708431830916523,0.14,5.708431830916523,5.848431830916523,Rue,1
24,Rue,5.368913627973836,0.49,5.368913627973836,5.858913627973836,Rue,1
43,Rue,0.54,0.2,5.701003650055303,5.901003650055303,Rue,2
63,Rue,5.8263795920848,0.13,5.8263795920848,5.9563795920848,Sans,1
57,Domicile,5.908001132874225,0.05,5.908001132874225,5.958001132874225,Entreprise,1
85,Domicile,5.826805865457734,0.14,5.826805865457734,5.966805865457734,Rue,1
70,Rue,0.65,0.24,5.771027404076411,6.011027404076411,Domicile,2
1,Domicile,5.955201874365785,0.1,5.955201874365785,6.0552018743657845,Rue,1
25,Domicile,5.8561869650710685,0.2,5.8561869650710685,6.056186965071069,Entreprise,1
50,Domicile,5.416689795258572,0.65,5.416689795258572,6.066689795258572,Rue,1
