Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
396,Domicile,3.399213481773648,0.13,3.399213481773648,3.529213481773648,Parking,1
163,Domicile,3.2399870478341284,0.3,3.2399870478341284,3.539987047834128,Parking,1
5,Rue,3.4685688571420985,0.09,3.4685688571420985,3.5585688571420984,Parking,1
460,Domicile,3.3902240374197676,0.18,3.3902240374197676,3.570224037419768,Rue,1
365,Domicile,3.5295159734162276,0.07,3.5295159734162276,3.5995159734162274,Rue,1
147,Domicile,3.500239814514145,0.11,3.500239814514145,3.610239814514145,Parking,1
180,Domicile,3.455697166017456,0.19,3.455697166017456,3.645697166017456,Rue,1
302,Domicile,3.375903025529813,0.27,3.375903025529813,3.645903025529813,Parking,1
104,Domicile,3.548525135483966,0.14,3.548525135483966,3.688525135483966,Rue,1
124,Rue,3.5039560444475666,0.21,3.5039560444475666,3.7139560444475666,Rue,1
132,Rue,3.418353088095483,0.36,3.418353088095483,3.778353088095483,Parking,1
259,Rue,3.58560140587672,0.2,3.58560140587672,3.78560140587672,Rue,1
419,Domicile,3.4868539963662046,0.32,3.4868539963662046,3.8068539963662045,Parking,1
227,Domicile,3.697336748302577,0.13,3.697336748302577,3.827336748302577,Rue,1
45,Rue,3.5068985648901836,0.33,3.5068985648901836,3.8368985648901837,Parking,1
31,Domicile,3.6345057240884846,0.22,3.6345057240884846,3.854505724088485,Rue,1
90,Domicile,3.7751901841866786,0.1,3.7751901841866786,3.8751901841866787,Rue,1
144,Domicile,3.7679940640006078,0.13,3.7679940640006078,3.8979940640006077,Parking,1
427,Parking,0.41,0.18,3.732964488372223,3.912964488372223,Parking,2
442,Domicile,3.695789224887721,0.24,3.695789224887721,3.9357892248877206,Entreprise,1
108,Rue,3.917117403178397,0.03,3.917117403178397,3.947117403178397,Domicile,1
242,Domicile,3.8750030031356664,0.08,3.8750030031356664,3.9550030031356664,Rue,1
365,Rue,0.07,0.3,3.6695159734162273,3.969515973416227,Parking,2
495,Domicile,3.6926764294772876,0.28,3.6926764294772876,3.9726764294772874,Entreprise,1
416,Domicile,3.883802949074121,0.1,3.883802949074121,3.983802949074121,Entreprise,1
376,Rue,1.17,0.21,3.80435187616406,4.01435187616406,Rue,2
478,Parking,0.68,0.15,3.871713050480885,4.021713050480885,Parking,2
160,Parking,0.5,0.4,3.6301625327543317,4.030162532754332,Parking,2
210,Domicile,3.743815973418531,0.32,3.743815973418531,4.063815973418531,Parking,1
135,Parking,3.9614808073066348,0.13,3.9614808073066348,4.091480807306635,Domicile,1
248,Domicile,3.9884831804977527,0.11,3.9884831804977527,4.098483180497753,Parking,1
191,Rue,3.910705939452721,0.19,3.910705939452721,4.100705939452721,Parking,1
389,Domicile,3.9760564031828602,0.13,3.9760564031828602,4.10605640318286,Parking,1
98,Domicile,3.8045977294273587,0.31,3.8045977294273587,4.114597729427358,Parking,1
480,Domicile,3.821509731513193,0.31,3.821509731513193,4.131509731513193,Rue,1
26,Domicile,4.0334914638306945,0.1,4.0334914638306945,4.133491463830694,Rue,1
103,Rue,4.050881875293667,0.09,4.050881875293667,4.140881875293667,Rue,1
167,Domicile,3.971004691597034,0.17,3.971004691597034,4.141004691597034,Rue,1
121,Rue,3.8044761798955937,0.34,3.8044761798955937,4.144476179895594,Domicile,1
154,Domicile,3.9644464633884238,0.2,3.9644464633884238,4.1644464633884235,Parking,1
253,Domicile,3.8582605743651577,0.35,3.8582605743651577,4.208260574365157,Parking,1
180,Rue,0.43,0.14,4.075697166017456,4.215697166017455,Domicile,2
86,Parking,4.147094395331779,0.07,4.147094395331779,4.217094395331779,Parking,1
350,Domicile,4.0750400150794395,0.16,4.0750400150794395,4.23504001507944,Parking,1
78,Domicile,4.09963107343369,0.14,4.09963107343369,4.2396310734336895,Rue,1
158,Domicile,4.083949771604631,0.17,4.083949771604631,4.253949771604631,Parking,1
99,Rue,4.20866760841991,0.05,4.20866760841991,4.25866760841991,Rue,1
297,Domicile,4.000848836535841,0.27,4.000848836535841,4.270848836535841,Rue,1
67,Entreprise,3.7971407420193826,0.48,3.7971407420193826,4.277140742019382,Rue,1
92,Domicile,3.656744780326567,0.63,3.656744780326567,4.2867447803265675,Rue,1
496,Rue,4.230177851553151,0.06,4.230177851553151,4.290177851553151,Rue,1
105,Domicile,3.651824905543528,0.65,3.651824905543528,4.301824905543528,Domicile,1
400,Parking,4.234956250414235,0.07,4.234956250414235,4.304956250414235,Rue,1
353,Rue,4.1711031249734,0.14,4.1711031249734,4.3111031249734,Domicile,1
41,Domicile,4.152868178698558,0.19,4.152868178698558,4.342868178698558,Rue,1
320,Domicile,3.90042426967471,0.45,3.90042426967471,4.3504242696747095,Rue,1
282,Domicile,4.259762792781726,0.1,4.259762792781726,4.3597627927817255,Parking,1
453,Parking,1.12,0.25,4.1275932865484695,4.3775932865484695,Rue,2
262,Domicile,3.9911250806629623,0.39,3.9911250806629623,4.3811250806629625,Parking,1
84,Rue,1.34,0.29,4.095076171815059,4.385076171815059,Rue,2
259,Rue,0.13,0.47,3.91560140587672,4.38560140587672,Domicile,2
140,Domicile,4.328515757533831,0.08,4.328515757533831,4.408515757533831,Rue,1
80,Domicile,4.228748813834683,0.18,4.228748813834683,4.408748813834682,Parking,1
464,Domicile,4.322311723510978,0.1,4.322311723510978,4.422311723510978,Rue,1
422,Domicile,4.246237624726793,0.18,4.246237624726793,4.4262376247267925,Parking,1
460,Rue,0.68,0.18,4.250224037419768,4.430224037419768,Parking,2
27,Domicile,4.3955713314604665,0.06,4.3955713314604665,4.455571331460466,Entreprise,1
11,Domicile,4.337611848197512,0.12,4.337611848197512,4.457611848197512,Entreprise,1
265,Domicile,4.332330660269452,0.13,4.332330660269452,4.462330660269452,Rue,1
299,Rue,4.381944871595585,0.09,4.381944871595585,4.471944871595585,Parking,1
129,Rue,4.239319839121735,0.24,4.239319839121735,4.479319839121735,Rue,1
114,Domicile,4.431028051989512,0.06,4.431028051989512,4.491028051989511,Entreprise,1
427,Parking,0.24,0.34,4.152964488372223,4.492964488372223,Parking,3
360,Domicile,4.414426564256824,0.08,4.414426564256824,4.494426564256824,Rue,1
302,Parking,0.2,0.65,3.8459030255298132,4.495903025529813,Rue,2
202,Domicile,4.174453675778042,0.33,4.174453675778042,4.504453675778042,Rue,1
119,Domicile,4.480362482532579,0.03,4.480362482532579,4.510362482532579,Domicile,1
373,Rue,3.5754827711497352,0.94,3.5754827711497352,4.515482771149735,Parking,1
422,Parking,0.01,0.09,4.436237624726792,4.526237624726792,Parking,2
161,Parking,4.141051763572615,0.4,4.141051763572615,4.541051763572615,Sans,1
64,Domicile,4.141511160076544,0.42,4.141511160076544,4.561511160076544,Parking,1
166,Domicile,3.924141882156119,0.64,3.924141882156119,4.564141882156119,Rue,1
440,Rue,4.487261907126301,0.08,4.487261907126301,4.567261907126301,Parking,1
29,Rue,4.2534401951019625,0.33,4.2534401951019625,4.5834401951019625,Rue,1
341,Domicile,3.935437489499824,0.66,3.935437489499824,4.595437489499824,Parking,1
263,Domicile,4.436565017127753,0.17,4.436565017127753,4.606565017127753,Parking,1
376,Rue,0.1,0.5,4.11435187616406,4.61435187616406,Parking,3
1,Domicile,3.8155029389106057,0.8,3.8155029389106057,4.6155029389106055,Parking,1
292,Domicile,4.566048494712845,0.06,4.566048494712845,4.626048494712845,Sans,1
439,Domicile,4.5485503864182215,0.09,4.5485503864182215,4.638550386418221,Parking,1
150,Domicile,4.381293939518634,0.27,4.381293939518634,4.651293939518634,Rue,1
95,Domicile,4.313796019786564,0.35,4.313796019786564,4.663796019786564,Rue,1
88,Domicile,4.546791140184556,0.13,4.546791140184556,4.676791140184556,Parking,1
456,Rue,4.523495536795443,0.17,4.523495536795443,4.693495536795443,Domicile,1
227,Rue,0.66,0.21,4.487336748302577,4.697336748302577,Domicile,2
384,Domicile,4.500147104437288,0.21,4.500147104437288,4.710147104437288,Sans,1
144,Parking,0.7,0.13,4.597994064000607,4.727994064000607,Rue,2
189,Domicile,4.132468894085012,0.6,4.132468894085012,4.732468894085011,Entreprise,1
315,Domicile,3.891652102169369,0.85,3.891652102169369,4.741652102169369,Parking,1
53,Domicile,4.511877029563314,0.23,4.511877029563314,4.741877029563314,Parking,1
415,Rue,4.7154570931447575,0.03,4.7154570931447575,4.745457093144758,Rue,1
149,Domicile,4.6610441759037755,0.09,4.6610441759037755,4.751044175903775,Parking,1
411,Rue,4.499530276245645,0.27,4.499530276245645,4.769530276245645,Rue,1
73,Domicile,4.550228806202676,0.22,4.550228806202676,4.770228806202676,Parking,1
369,Domicile,4.713903568588122,0.09,4.713903568588122,4.8039035685881215,Parking,1
140,Rue,0.31,0.1,4.71851575753383,4.81851575753383,Parking,2
476,Rue,4.3356565515193655,0.49,4.3356565515193655,4.825656551519366,Parking,1
452,Domicile,4.4218861523086135,0.41,4.4218861523086135,4.831886152308614,Parking,1
451,Domicile,4.696522071092072,0.14,4.696522071092072,4.836522071092071,Parking,1
294,Rue,0.81,0.52,4.319522520022834,4.839522520022834,Rue,2
300,Rue,4.536496202563243,0.31,4.536496202563243,4.846496202563243,Domicile,1
331,Rue,4.7923649746033465,0.08,4.7923649746033465,4.872364974603347,Parking,1
327,Domicile,4.768445737327973,0.12,4.768445737327973,4.888445737327973,Parking,1
374,Domicile,4.464973592980667,0.43,4.464973592980667,4.894973592980667,Domicile,1
231,Domicile,4.826367298858138,0.07,4.826367298858138,4.896367298858138,Rue,1
350,Parking,0.59,0.08,4.8250400150794395,4.9050400150794395,Domicile,2
302,Rue,0.27,0.15,4.765903025529813,4.915903025529813,Rue,3
93,Rue,4.786006302899211,0.13,4.786006302899211,4.916006302899211,Parking,1
246,Domicile,4.694792164023934,0.23,4.694792164023934,4.924792164023934,Entreprise,1
221,Domicile,4.539328857389002,0.4,4.539328857389002,4.939328857389002,Rue,1
398,Domicile,4.6402161857508455,0.3,4.6402161857508455,4.940216185750845,Entreprise,1
142,Domicile,4.75224274844672,0.19,4.75224274844672,4.94224274844672,Parking,1
137,Domicile,4.703953322807654,0.25,4.703953322807654,4.953953322807654,Parking,1
489,Domicile,4.410197988904778,0.56,4.410197988904778,4.970197988904777,Parking,1
387,Rue,4.802525890272489,0.18,4.802525890272489,4.9825258902724885,Domicile,1
204,Parking,1.1,0.75,4.232933585671587,4.982933585671587,Entreprise,2
239,Domicile,4.6069943991617555,0.38,4.6069943991617555,4.986994399161755,Parking,1
311,Rue,4.902892373757024,0.1,4.902892373757024,5.002892373757024,Parking,1
115,Domicile,4.104748400360283,0.91,4.104748400360283,5.014748400360284,Parking,1
422,Parking,0.47,0.02,4.996237624726792,5.016237624726792,Rue,3
319,Domicile,4.967588995537322,0.05,4.967588995537322,5.017588995537322,Parking,1
272,Domicile,4.820696723760947,0.21,4.820696723760947,5.030696723760947,Domicile,1
410,Domicile,4.926578778828618,0.11,4.926578778828618,5.036578778828618,Parking,1
18,Domicile,4.8968242703231475,0.15,4.8968242703231475,5.046824270323148,Parking,1
438,Domicile,5.034904546584219,0.02,5.034904546584219,5.054904546584218,Parking,1
123,Parking,4.928878092070778,0.13,4.928878092070778,5.058878092070778,Domicile,1
161,Sans,0.43,0.09,4.971051763572615,5.061051763572615,Domicile,2
147,Parking,1.08,0.38,4.690239814514145,5.070239814514145,Entreprise,2
424,Rue,4.240863594537926,0.83,4.240863594537926,5.070863594537926,Rue,1
379,Rue,4.4387815534077575,0.64,4.4387815534077575,5.078781553407757,Rue,1
365,Parking,0.63,0.49,4.599515973416227,5.089515973416227,Parking,3
182,Domicile,4.9828326682095465,0.11,4.9828326682095465,5.092832668209547,Rue,1
32,Domicile,4.79121949953196,0.31,4.79121949953196,5.101219499531959,Parking,1
171,Domicile,4.905239381208806,0.23,4.905239381208806,5.135239381208806,Rue,1
24,Rue,5.05117560509636,0.1,5.05117560509636,5.15117560509636,Domicile,1
100,Domicile,4.739968254009277,0.45,4.739968254009277,5.189968254009277,Rue,1
307,Domicile,5.0903155061877765,0.1,5.0903155061877765,5.190315506187776,Parking,1
6,Domicile,4.962126664098945,0.25,4.962126664098945,5.212126664098945,Rue,1
384,Sans,0.29,0.22,5.000147104437288,5.220147104437288,Domicile,2
294,Rue,0.31,0.08,5.149522520022834,5.229522520022834,Rue,3
88,Parking,0.42,0.14,5.096791140184556,5.236791140184556,Domicile,2
309,Rue,4.580349027915599,0.66,4.580349027915599,5.240349027915599,Entreprise,1
243,Domicile,5.021988595865298,0.22,5.021988595865298,5.241988595865298,Rue,1
173,Domicile,4.702103726719345,0.55,4.702103726719345,5.252103726719345,Rue,1
301,Domicile,3.932309761312373,1.33,3.932309761312373,5.262309761312373,Rue,1
395,Domicile,5.203443455340032,0.07,5.203443455340032,5.273443455340033,Domicile,1
46,Domicile,5.1655808871134905,0.12,5.1655808871134905,5.285580887113491,Parking,1
299,Parking,0.62,0.2,5.091944871595585,5.291944871595585,Entreprise,2
167,Rue,0.91,0.25,5.051004691597035,5.301004691597035,Rue,2
257,Domicile,4.3554867144282685,0.95,4.3554867144282685,5.305486714428269,Parking,1
235,Domicile,4.788139814692345,0.52,4.788139814692345,5.308139814692344,Parking,1
369,Parking,0.42,0.09,5.223903568588121,5.313903568588121,Domicile,2
463,Rue,4.8999042451064065,0.42,4.8999042451064065,5.3199042451064065,Domicile,1
343,Rue,5.086962309388064,0.24,5.086962309388064,5.3269623093880645,Rue,1
214,Domicile,5.2740701956162885,0.06,5.2740701956162885,5.334070195616288,Entreprise,1
495,Entreprise,1.3,0.07,5.272676429477287,5.3426764294772875,Rue,2
254,Rue,4.6131430674932155,0.75,4.6131430674932155,5.3631430674932155,Rue,1
186,Domicile,5.208611459553247,0.16,5.208611459553247,5.3686114595532475,Parking,1
292,Sans,0.59,0.17,5.216048494712845,5.386048494712845,Rue,2
192,Domicile,4.836498515809839,0.55,4.836498515809839,5.386498515809839,Rue,1
378,Domicile,5.257031925234053,0.14,5.257031925234053,5.397031925234053,Rue,1
457,Parking,5.1580377358329015,0.25,5.1580377358329015,5.4080377358329015,Domicile,1
64,Parking,0.48,0.37,5.041511160076544,5.411511160076544,Domicile,2
158,Parking,0.79,0.37,5.043949771604631,5.413949771604631,Domicile,2
305,Domicile,5.187518069434961,0.23,5.187518069434961,5.417518069434961,Parking,1
249,Rue,5.218434781020454,0.21,5.218434781020454,5.428434781020454,Parking,1
242,Rue,1.43,0.06,5.385003003135666,5.445003003135666,Rue,2
445,Entreprise,5.156448600210176,0.29,5.156448600210176,5.446448600210176,Domicile,1
113,Rue,5.299484661338567,0.15,5.299484661338567,5.449484661338567,Domicile,1
4,Domicile,5.088179882955694,0.37,5.088179882955694,5.458179882955694,Parking,1
156,Domicile,4.7938941966578,0.67,4.7938941966578,5.4638941966578,Parking,1
154,Parking,1.14,0.16,5.304446463388423,5.464446463388423,Rue,2
497,Domicile,5.38035343350662,0.09,5.38035343350662,5.47035343350662,Sans,1
481,Domicile,4.8565432413092955,0.63,4.8565432413092955,5.486543241309295,Parking,1
