Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
31,Rue,4.478098710470906,0.07,4.478098710470906,4.5480987104709065,Parking,1
167,Rue,4.174409970031372,0.4,4.174409970031372,4.574409970031373,Rue,1
26,Rue,4.080487138361026,0.5,4.080487138361026,4.580487138361026,Domicile,1
96,Domicile,4.36249919612181,0.22,4.36249919612181,4.58249919612181,Entreprise,1
288,Domicile,4.403425107550798,0.19,4.403425107550798,4.593425107550798,Entreprise,1
91,Domicile,4.404307882690761,0.19,4.404307882690761,4.594307882690761,Entreprise,1
499,Rue,4.4449004866713775,0.15,4.4449004866713775,4.594900486671378,Sans,1
430,Parking,0.22,0.44,4.157791619451848,4.597791619451848,Domicile,2
178,Domicile,4.4622599726897905,0.14,4.4622599726897905,4.60225997268979,Entreprise,1
185,Rue,4.431281892377227,0.18,4.431281892377227,4.611281892377226,Rue,1
452,Domicile,4.354553548469516,0.26,4.354553548469516,4.614553548469516,Entreprise,1
352,Domicile,4.56406734328119,0.09,4.56406734328119,4.65406734328119,Rue,1
360,Domicile,4.471055783474354,0.19,4.471055783474354,4.661055783474354,Sans,1
440,Rue,4.6132847341839796,0.06,4.6132847341839796,4.673284734183979,Rue,1
267,Domicile,4.562454797587235,0.12,4.562454797587235,4.682454797587235,Entreprise,1
111,Rue,0.29,0.07,4.614732950368672,4.684732950368672,Parking,2
376,Domicile,4.516910904586871,0.17,4.516910904586871,4.686910904586871,Rue,1
124,Parking,4.55780618352364,0.13,4.55780618352364,4.68780618352364,Parking,1
464,Domicile,4.638890723444503,0.05,4.638890723444503,4.688890723444503,Parking,1
219,Domicile,4.529380905386695,0.17,4.529380905386695,4.699380905386695,Entreprise,1
121,Parking,0.41,0.19,4.515434412823591,4.705434412823591,Domicile,3
97,Domicile,4.580558959866276,0.13,4.580558959866276,4.710558959866276,Entreprise,1
87,Rue,4.600425169103835,0.13,4.600425169103835,4.730425169103835,Entreprise,1
62,Parking,0.7,0.33,4.402626669560573,4.732626669560573,Domicile,2
147,Parking,0.26,0.04,4.695141310960396,4.735141310960396,Parking,3
228,Parking,4.609137295401557,0.14,4.609137295401557,4.749137295401557,Parking,1
69,Parking,0.45,0.26,4.489152394435694,4.7491523944356935,Parking,2
474,Domicile,4.574197850376543,0.19,4.574197850376543,4.764197850376544,Parking,1
